                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66447,                0.57637,                 1.1798,                0.85243,                0.86635,                0.90118,                0.67587,                0.95098,                0.62549,                 1.4503,              0.0096733,              0.0096733,              0.0096733
                     36,                0.65842,                0.58377,                 1.1729,                0.89194,                0.88851,                0.91755,                0.68061,                0.93094,                0.56993,                 1.4328,              0.0096634,              0.0096634,              0.0096634
                     37,                0.65524,                0.58006,                  1.173,                0.89469,                0.82557,                0.88806,                0.65173,                0.95411,                0.67488,                 1.4824,              0.0096535,              0.0096535,              0.0096535
                     38,                0.65136,                0.56854,                 1.1717,                0.90242,                0.87987,                 0.9188,                 0.7034,                0.90994,                0.56261,                 1.4043,              0.0096436,              0.0096436,              0.0096436
                     39,                0.64481,                0.56397,                   1.17,                0.90007,                 0.8352,                0.91575,                0.67468,                0.91536,                0.59462,                 1.4361,              0.0096337,              0.0096337,              0.0096337
                     40,                0.64663,                0.54949,                  1.167,                0.91644,                0.86458,                0.92977,                0.68496,                0.96026,                0.58896,                  1.462,              0.0096238,              0.0096238,              0.0096238
                     41,                0.64922,                0.55682,                 1.1726,                0.90262,                0.85062,                0.92767,                0.70409,                0.84992,                0.55937,                 1.3721,              0.0096139,              0.0096139,              0.0096139
                     42,                0.64665,                 0.5606,                 1.1691,                0.90249,                0.87366,                 0.9248,                0.70388,                0.84917,                0.56363,                 1.3749,               0.009604,               0.009604,               0.009604
                     43,                0.64374,                0.54671,                 1.1615,                0.92273,                0.87601,                0.93309,                0.72562,                 0.8491,                0.52411,                 1.3622,              0.0095941,              0.0095941,              0.0095941
                     44,                 0.6353,                0.54274,                  1.159,                  0.907,                0.88837,                 0.9338,                0.71849,                0.87803,                0.53368,                 1.3694,              0.0095842,              0.0095842,              0.0095842
                     45,                   0.63,                0.53706,                 1.1558,                0.88986,                0.90316,                0.93672,                 0.7175,                0.86656,                0.54984,                 1.3796,              0.0095743,              0.0095743,              0.0095743
                     46,                0.63575,                0.54021,                 1.1531,                0.90921,                0.88514,                0.92747,                0.69754,                0.92216,                0.55333,                 1.4069,              0.0095644,              0.0095644,              0.0095644
                     47,                0.62837,                0.53184,                 1.1512,                0.87478,                0.86642,                0.91995,                0.70347,                0.91145,                0.58269,                 1.4083,              0.0095545,              0.0095545,              0.0095545
                     48,                0.62775,                0.52932,                 1.1526,                0.90966,                0.88386,                0.93524,                 0.7228,                0.84002,                0.51284,                 1.3587,              0.0095446,              0.0095446,              0.0095446
                     49,                0.62495,                0.52707,                 1.1514,                0.90299,                0.87847,                 0.9177,                0.67335,                0.95525,                0.58942,                 1.4483,              0.0095347,              0.0095347,              0.0095347
                     50,                0.62633,                0.52554,                 1.1514,                0.93041,                0.88509,                0.93933,                0.72655,                0.87479,                0.51597,                  1.371,              0.0095248,              0.0095248,              0.0095248
                     51,                0.61782,                0.51589,                 1.1448,                0.92959,                0.87226,                0.93813,                0.72213,                0.89004,                0.51926,                 1.3789,              0.0095149,              0.0095149,              0.0095149
                     52,                0.62172,                0.52716,                 1.1472,                 0.9139,                0.90051,                0.94071,                0.74055,                0.83908,                0.50879,                 1.3376,               0.009505,               0.009505,               0.009505
                     53,                0.60934,                0.51782,                 1.1406,                0.91892,                0.90954,                0.94033,                 0.7326,                 0.8457,                0.49862,                 1.3347,              0.0094951,              0.0094951,              0.0094951
                     54,                0.60871,                0.51435,                 1.1427,                0.90931,                0.90952,                0.94294,                0.74649,                0.80833,                0.48862,                 1.3287,              0.0094852,              0.0094852,              0.0094852
                     55,                0.61263,                0.51856,                 1.1412,                0.91392,                0.88179,                0.93914,                0.72451,                0.83385,                0.50249,                 1.3438,              0.0094753,              0.0094753,              0.0094753
                     56,                0.60398,                0.50561,                 1.1375,                0.92227,                0.89937,                0.94317,                0.75076,                0.82104,                0.50222,                  1.318,              0.0094654,              0.0094654,              0.0094654
                     57,                0.61405,                0.51326,                 1.1449,                0.91666,                0.91539,                0.94293,                 0.7392,                0.83744,                 0.4858,                 1.3351,              0.0094555,              0.0094555,              0.0094555
                     58,                0.60726,                0.50993,                  1.141,                0.90922,                0.92818,                0.94942,                0.74883,                0.82769,                0.47504,                 1.3093,              0.0094456,              0.0094456,              0.0094456
                     59,                0.60283,                0.50482,                 1.1352,                0.90617,                0.90024,                0.94165,                0.74321,                0.81534,                0.48679,                 1.3149,              0.0094357,              0.0094357,              0.0094357
                     60,                0.60371,                0.50599,                 1.1361,                0.91781,                0.91009,                0.94309,                0.74862,                0.79805,                0.46597,                 1.3156,              0.0094258,              0.0094258,              0.0094258
                     61,                0.60264,                0.50339,                 1.1342,                0.92064,                0.91673,                 0.9459,                0.74664,                0.81003,                0.46545,                 1.3048,              0.0094159,              0.0094159,              0.0094159
                     62,                0.60812,                0.50643,                 1.1384,                0.89158,                0.91439,                0.94338,                0.74702,                0.82613,                 0.4856,                  1.311,               0.009406,               0.009406,               0.009406
